time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.025 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.050 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.075 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.100 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.125 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.150 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.175 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.200 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.225 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.250 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.275 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.300 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.325 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.350 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.375 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.400 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.425 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.450 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.475 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.500 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.525 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
0.550 500 0.000 0.000 500 0.000 0.000 0.000 0.000
0.575 500 0.000 0.000 500 0.000 0.000 0.000 0.000
0.600 500 0.000 0.000 500 0.000 0.000 0.000 0.000
0.625 500 0.000 0.000 500 0.000 0.000 0.000 0.000
0.650 500 0.000 0.000 500 0.000 0.000 0.000 0.000
0.675 500 0.000 0.000 500 0.000 0.000 0.000 0.000
0.700 500 0.000 0.000 500 0.000 0.000 0.000 0.000
0.725 500 0.000 0.000 500 0.000 0.000 0.000 0.000
0.750 500 0.000 0.000 500 0.000 0.000 0.000 0.000
0.775 500 0.000 0.000 500 0.000 0.000 0.000 0.000
0.800 500 0.000 0.000 500 0.000 0.000 0.000 0.000
0.825 500 0.000 0.000 500 0.000 0.000 0.000 0.000
0.850 500 0.000 0.000 500 0.000 0.000 0.000 0.000
0.875 500 0.000 0.000 500 0.000 0.000 0.000 0.000
